brand_id,brand_name,company,is_tbwa_client,category
1,Alaska Evaporated Milk,Alaska Milk Corporation,TRUE,Dairy
2,Alaska Condensed Milk,Alaska Milk Corporation,TRUE,Dairy
3,Alaska Powdered Milk,Alaska Milk Corporation,TRUE,Dairy
4,Krem-Top,Alaska Milk Corporation,TRUE,Coffee Creamer
5,Alpine,Alaska Milk Corporation,TRUE,Dairy
6,Cow Bell,Alaska Milk Corporation,TRUE,Dairy
7,Oishi Prawn Crackers,Liwayway Marketing Corporation,TRUE,Snacks
8,Oishi Pillows,Liwayway Marketing Corporation,TRUE,Snacks
9,Oishi Marty's,Liwayway Marketing Corporation,TRUE,Snacks
10,Oishi Ridges,Liwayway Marketing Corporation,TRUE,Snacks
11,Oishi Bread Pan,Liwayway Marketing Corporation,TRUE,Snacks
12,Oishi Gourmet Picks,Liwayway Marketing Corporation,TRUE,Snacks
13,Oishi Crispy Patata,Liwayway Marketing Corporation,TRUE,Snacks
14,Oishi Smart C+,Liwayway Marketing Corporation,TRUE,Beverage
15,Oaties,Liwayway Marketing Corporation,TRUE,Beverage
16,Hi-Ho,Liwayway Marketing Corporation,TRUE,Snacks
17,Rinbee,Liwayway Marketing Corporation,TRUE,Snacks
18,Deli Mex,Liwayway Marketing Corporation,TRUE,Snacks
19,Champion,Peerless Products Manufacturing,TRUE,Home Care
20,Calla,Peerless Products Manufacturing,TRUE,Home Care
21,Hana,Peerless Products Manufacturing,TRUE,Personal Care
22,Cyclone,Peerless Products Manufacturing,TRUE,Home Care
23,Pride,Peerless Products Manufacturing,TRUE,Home Care
24,Care Plus,Peerless Products Manufacturing,TRUE,Personal Care
25,Del Monte Pineapple,Del Monte Philippines,TRUE,Beverage
26,Del Monte Tomato,Del Monte Philippines,TRUE,Condiment
27,Del Monte Spaghetti Sauce,Del Monte Philippines,TRUE,Condiment
28,Del Monte Fruit Cocktail,Del Monte Philippines,TRUE,Canned Fruit
29,Del Monte Pasta,Del Monte Philippines,TRUE,Pasta
30,S&W,Del Monte Philippines,TRUE,Canned Fruit
31,Today's,Del Monte Philippines,TRUE,Budget
32,Fit 'n Right,Del Monte Philippines,TRUE,Beverage
33,Winston,Japan Tobacco International,TRUE,Tobacco
34,Camel,Japan Tobacco International,TRUE,Tobacco
35,Mevius,Japan Tobacco International,TRUE,Tobacco
36,LD,Japan Tobacco International,TRUE,Tobacco
37,Mighty,Japan Tobacco International,TRUE,Tobacco
38,Caster,Japan Tobacco International,TRUE,Tobacco
39,Glamour,Japan Tobacco International,TRUE,Tobacco
40,Nestlé Bear Brand,Nestlé,FALSE,Dairy
41,Milo,Nestlé,FALSE,Beverage
42,Nescafé,Nestlé,FALSE,Beverage
43,Maggi,Nestlé,FALSE,Food
44,Surf,Unilever,FALSE,Home Care
45,Breeze,Unilever,FALSE,Home Care
46,Ariel,Procter & Gamble,FALSE,Home Care
47,Tide,Procter & Gamble,FALSE,Home Care
48,Downy,Procter & Gamble,FALSE,Home Care
49,Coca-Cola,Coca-Cola,FALSE,Beverage
50,Sprite,Coca-Cola,FALSE,Beverage
51,Royal,Coca-Cola,FALSE,Beverage
52,Pepsi,PepsiCo,FALSE,Beverage
53,Mountain Dew,PepsiCo,FALSE,Beverage
54,Marlboro,PMFTC,FALSE,Tobacco
55,Fortune,PMFTC,FALSE,Tobacco
56,Hope,PMFTC,FALSE,Tobacco
57,Champion Filter,Kentucky Trading,FALSE,Tobacco
