region_code,region_name,province,city_municipality,barangay,store_name,lat,lng,polygon_ref
NCR,National Capital Region,Metro Manila,Manila,Tondo,Aling Rosa's Sari-Sari Store,14.6091,120.9738,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Tondo,Mang Pedro's Corner Store,14.6120,120.9745,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Tondo,Tindahan ni Ka Mario,14.6105,120.9755,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Binondo,Binondo Lucky Store,14.6006,120.9732,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Binondo,Aling Siony's Variety,14.5998,120.9741,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Quiapo,Quiapo Central Mart,14.5992,120.9842,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Quiapo,Doria's Daily Needs,14.5986,120.9836,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Sampaloc,Sampaloc Mini Mart,14.6113,120.9895,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Sampaloc,Aling Nena's Store,14.6120,120.9902,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,San Andres,San Andres Grocery,14.5789,120.9822,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Ermita,Ermita Quick Stop,14.5831,120.9755,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Malate,Remedios Circle Store,14.5736,120.9812,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Paco,Paco Public Market Store,14.5779,121.0075,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Pandacan,Pandacan Bridge Store,14.5920,121.0180,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Manila,Santa Ana,Santa Ana Riverside Mart,14.5806,121.0234,ncr_manila.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Commonwealth,Commonwealth Wet Market Store,14.7104,121.0904,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Commonwealth,Batasan Hills Sari-Sari,14.6892,121.0957,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Fairview,Fairview Terraces Store,14.7384,121.0625,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Fairview,Lagro Subdivision Store,14.7210,121.0498,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Novaliches,Nova Proper Mini Mart,14.7176,121.0317,ncr_quezon.geojson
